Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
your,1.519755,1213.690435,2545.9842519999997,3477.6460520000005,4921.8613399999995
your,1.5260049999999998,1187.7140980000001,2701.951195,3481.8717799999995,4656.541268
your,1.532255,1135.417984,2470.106848,3625.521107,4781.320987
your,1.538505,1038.919263,2159.296666,3058.894994,4540.954739
your,1.5447549999999999,1129.165834,2173.482253,3032.465486,4476.520420000001
your,1.551005,1147.958938,2156.512632,2751.456037,4256.206535
your,1.5572549999999998,1082.700866,2284.265713,3027.475669,3880.992554
your,1.563505,162.112581,1259.576699,2464.71649,3615.262892
your,1.569755,211.748658,1265.554202,2409.282718,3748.231364
your,1.5760049999999999,246.396494,1086.078457,2420.709497,3823.232032
your,1.582255,275.627887,792.0425240000001,2519.788912,3713.9470049999995
your,1.5885049999999998,306.85161400000004,444.22445,2583.142698,3638.6951700000004
your,1.594755,294.14795499999997,1041.3375119999998,2760.175971,3864.324225
your,1.601005,299.771958,1186.423592,2782.0318,3783.932646
your,1.6072549999999999,311.118869,1700.150082,2764.044504,3658.780053
your,1.613505,314.207454,2002.371136,2469.509358,3112.442246
your,1.6197549999999998,318.768962,2473.205733,3020.392789,4875.714422
your,1.626005,308.0142,2159.0365620000002,2416.403374,3128.327966
your,1.632255,331.65154900000005,2199.153655,2269.2294269999998,3478.172113
your,1.6385049999999999,360.033971,2053.025572,2195.85617,3659.1756520000004
your,1.644755,375.950393,1872.295132,2134.287199,3775.1524280000003
your,1.6510049999999998,386.80990299999996,1733.788457,2216.750078,3801.661839
your,1.657255,400.786273,1608.677178,2279.967048,3830.523982
your,1.663505,410.118204,1488.1553789999998,2290.704952,3873.8140799999996
your,1.6697549999999999,416.61242599999997,1317.99435,2273.902933,3859.004896
your,1.676005,417.915248,1258.115666,2309.0294010000002,3871.049895
your,1.6822549999999998,419.764956,1214.5001220000001,2305.231031,3932.956323
your,1.688505,419.933993,1117.948322,2231.168109,3993.4946520000003
your,1.694755,418.972664,1014.7079380000001,2287.0273460000003,3985.089905
your,1.7010049999999999,417.934935,888.968452,2257.2791859999998,3953.875171
your,1.707255,415.481738,846.4828369999999,2338.699807,3960.961394
your,1.7135049999999998,419.532974,837.634785,2305.207378,3796.5682100000004
your,1.719755,425.98260700000003,833.405405,2230.467332,3817.073832
your,1.726005,434.14954900000004,824.989566,2346.9793489999997,3752.007407
your,1.7322549999999999,446.70104100000003,817.322261,2423.977116,3827.126339
your,1.738505,464.094329,811.208217,2448.025827,3849.325012
your,1.7447549999999998,484.49228200000005,806.318987,2551.42835,3690.431536
your,1.751005,502.877938,797.507751,2593.292536,3726.840792
your,1.757255,518.72235,789.404528,2681.814762,3711.7541100000003
your,1.7635049999999999,525.175077,777.993477,2671.368476,4039.919865
your,1.769755,527.244494,774.4263599999999,2728.187916,4124.805425
your,1.7760049999999998,534.986718,790.758345,2771.592616,4190.893575
your,1.782255,541.381646,812.527407,2741.081155,4143.980688000001
your,1.788505,547.354503,833.458086,2648.550383,4084.7457289999998
your,1.7947549999999999,549.5745019999999,850.080183,2524.2922519999997,4088.1919009999997
your,1.801005,555.763789,850.824774,2406.747156,4066.522775
your,1.8072549999999998,570.819153,864.509009,2272.169135,4092.8478229999996
your,1.813505,590.371129,907.935684,2308.212985,4208.105565
your,1.819755,605.0365320000001,994.448503,2207.379587,4060.7419649999997
your,1.8260049999999999,606.1667769999999,1070.525067,2030.454472,4036.697608
your,1.832255,604.053945,1121.286699,1966.1552390000002,4065.4888909999995
your,1.8385049999999998,607.9992530000001,1203.898138,2050.328414,4133.730311
your,1.844755,608.881752,1252.265078,2057.4044940000003,4165.841824
your,1.851005,608.323279,1276.595068,2038.308045,4111.637406
your,1.8572549999999999,605.006824,1299.899495,2017.7272030000001,4107.58478
your,1.863505,599.931865,1328.305653,2006.4466530000002,4071.7179590000005
your,1.8697549999999998,599.558314,1412.372257,1994.8512449999998,4035.8249950000004
your,1.876005,597.363737,1508.228253,1994.150171,4040.312002
your,1.882255,594.419783,1529.5175789999998,1981.100497,4046.232204
your,1.8885049999999999,591.551977,1550.722814,1967.357536,4015.950775
your,1.894755,587.146412,1599.240753,1960.1949140000002,3982.8222490000003
your,1.9010049999999998,577.0562769999999,1622.984059,1930.1278489999997,3985.774592
your,1.907255,565.31885,1631.424207,1944.46507,3992.828071
your,1.913505,551.012679,1656.512454,1961.671651,3964.739815
your,1.9197549999999999,527.641046,1682.365165,1961.978544,3953.264775
your,1.926005,492.467966,1770.9744469999998,1950.124165,4027.626597
your,1.9322549999999998,450.92762300000004,1841.10899,1927.0651030000001,3965.429432
your,1.938505,422.19888399999996,1798.557904,1969.8724329999998,3928.159224
your,1.944755,413.912191,1742.2299239999998,2077.257272,3944.4472579999997
your,1.9510049999999999,410.993323,1673.236226,2141.066845,3896.8254829999996
your,1.957255,391.138412,1621.088912,2076.757564,3749.407168
your,1.9635049999999998,385.106799,1560.7008529999998,2037.44433,3681.473796
your,1.969755,374.856599,1556.5357609999999,2034.8883870000002,3859.3167829999998
your,1.976005,376.384578,1547.18716,2075.137436,4002.849269
your,1.9822549999999999,391.183951,1592.516947,2084.206376,3808.062331
your,1.988505,432.378486,1645.5100109999998,2035.985701,3901.1301740000004
your,1.9947549999999998,501.268038,1630.931444,2030.104688,3943.506282
your,2.001005,567.2682599999999,1654.329602,1970.1657260000002,4183.83321
your,2.007255,513.1288549999999,1864.5233050000002,1989.994766,4140.454842
your,2.013505,430.93373499999996,1861.4640829999998,1877.3319370000002,4099.622845
good,2.019755,439.28068899999994,1743.611914,1938.785139,4072.579911
good,2.026005,446.93265099999996,1415.662422,2103.232665,3966.646966
good,2.032255,505.01173200000005,1328.678761,2055.546091,3880.860283
good,2.038505,511.687399,1234.2752070000001,1802.464397,3658.8877
good,2.044755,482.32914800000003,1204.683687,1912.7098030000002,3865.004932
good,2.051005,374.94529700000004,1186.4639769999999,2133.1389879999997,3976.61154
good,2.057255,406.55530600000003,1165.756243,2121.482615,3990.4314409999997
good,2.063505,428.23474699999997,1266.91685,2505.774393,4124.6509829999995
good,2.069755,429.155917,1295.866786,2542.157316,3853.3626289999997
good,2.076005,435.830979,1328.540828,2493.148104,3731.7637670000004
good,2.082255,442.236614,1368.864796,2682.5939359999998,3828.7553740000003
good,2.088505,446.508738,1374.007551,2706.493384,4005.230557
good,2.094755,452.32338799999997,1385.371871,2719.2826210000003,4038.867039
good,2.101005,459.412596,1418.856588,2584.466577,4013.6446
good,2.107255,468.814221,1550.816237,2497.161743,4017.376239
good,2.113505,475.38109000000003,1721.0376440000002,2810.763667,4029.2730880000004
good,2.119755,481.047806,1755.4846559999999,2876.981523,4047.2566479999996
good,2.126005,484.169338,1795.700856,2961.118307,4046.8218159999997
good,2.132255,479.01723499999997,1816.9930149999998,2961.2226539999997,4035.319014
good,2.138505,478.58985,1786.4887899999999,2828.888818,4111.297324
good,2.144755,484.28708099999994,1629.468942,2754.701923,3990.405803
good,2.151005,478.060546,1574.127753,2784.5485719999997,3927.301253
good,2.157255,466.251145,1680.7827539999998,2853.518125,4294.427732
good,2.163505,438.068441,1561.5109439999999,2796.215441,4160.383747
good,2.169755,471.75804800000003,1544.844043,2786.571795,4178.2260240000005
good,2.176005,485.45554500000003,1685.961264,2915.572623,4187.089164
good,2.182255,478.61298099999993,1688.841888,2938.904904,4183.159259
