Word,Time_s,Intensity_dB
your,1.51688,38.674771
your,1.5275459999999998,38.039666
your,1.5382129999999998,38.744381
your,1.54888,43.326541999999996
your,1.5595459999999999,50.285095
your,1.5702129999999999,55.417956999999994
your,1.5808799999999998,58.067823
your,1.591546,58.751895
your,1.6022129999999999,58.710723
your,1.6128799999999999,59.394326
your,1.623546,61.738949
your,1.634213,65.27502199999999
your,1.64488,68.974189
your,1.655546,72.257182
your,1.6662130000000002,74.798456
your,1.67688,76.49903499999999
your,1.687546,77.592883
your,1.6982130000000002,78.245795
your,1.70888,78.497068
your,1.719546,78.504304
your,1.730213,78.274128
your,1.74088,77.834742
your,1.7515459999999998,77.567239
your,1.762213,77.698953
your,1.77288,77.939642
your,1.7835459999999999,78.08636899999999
your,1.794213,78.21793000000001
your,1.8048799999999998,78.397285
your,1.8155459999999999,78.57082199999999
your,1.826213,78.603157
your,1.8368799999999998,78.436214
your,1.847546,78.16229799999999
your,1.8582130000000001,77.817464
your,1.8688799999999999,77.495102
your,1.879546,77.468352
your,1.8902130000000001,77.548745
your,1.90088,77.337395
your,1.911546,76.584851
your,1.9222130000000002,75.277134
your,1.93288,73.541627
your,1.943546,70.933718
your,1.9542130000000002,67.182901
your,1.96488,63.7106
your,1.9755459999999998,60.684946
your,1.986213,56.718511
your,1.99688,51.790372999999995
your,2.007546,48.836420000000004
good,2.0182130000000003,48.92742
good,2.02888,52.23916
good,2.039546,58.185738
good,2.0502130000000003,66.70415
good,2.06088,73.733584
good,2.071546,78.072941
good,2.0822130000000003,80.360613
good,2.09288,81.23959599999999
good,2.1035459999999997,80.912561
good,2.114213,79.295142
good,2.12488,76.330939
good,2.1355459999999997,72.45849
good,2.146213,67.588741
good,2.15688,62.016505
good,2.1675459999999998,58.672437
good,2.178213,57.335793
good,2.1888799999999997,55.370415
good,2.199546,53.557225
good,2.210213,52.591514000000004
good,2.2208799999999997,51.122685
good,2.231546,48.453781
good,2.242213,46.077665
good,2.2528799999999998,44.302673999999996
good,2.263546,44.62332
pants,2.295546,43.823701
pants,2.306213,43.012640000000005
pants,2.31688,43.868233000000004
pants,2.327546,47.997017
pants,2.338213,54.541270999999995
pants,2.34888,57.635090000000005
pants,2.359546,57.969071
